id,question,answer,category
44,"Перевод во время отпуска по БиР","Перевод возможен после окончания отпуска по беременности и родам.",БиР
44,Возможен ли перевод во время отпуска по беременности и родам?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
45,Разрешён ли перевод в период отпуска по БиР?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
46,Могу ли я перевестись во время отпуска по беременности?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
47,Возможна ли смена магазина во время отпуска по беременности?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
48,Как бабушке оформить единовременную выплату на внука?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
49,Может ли бабушка оформить единовременную выплату при рождении внука?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
50,Может ли бабушка получить выплату при рождении ребёнка?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
51,Как бабушке оформить отпуск по уходу за внуком?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
52,Как оформить отпуск по уходу за внучкой?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
53,Как досрочно выйти из отпуска по уходу за ребёнком?,Сотруднику необходимо написать заявление на досрочный выход из отпуска по уходу за ребенком и передать его непосредственному руководителю. Он оформит соответствующее мероприятие. Заявление сотрудник может взять в Базе знаний Личного кабинета.,БиР
54,Процедура досрочного выхода из отпуска по БиР,"Выплата пособия по беременности и родам (БИР) производится за счет средств СФР. Пособие выплачивается единовременно в полном объеме. Если Вы решите выйти из отпуска по беременности и родам досрочно, то необходимо будет вернуть сумму пособия по беременности и родам за период с даты выхода на работу по дату окончания отпуска БИР, так как выплата пособия по беременности и родам и заработной платы одновременно не предусмотрена законодательством. Излишне выплаченные денежные средства подлежат возврату единовременным платежом и в полном объеме. Для досрочного выхода из отпуска по БиР создайте, пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку по процессу 1101 – Досрочный выход из отпуска по уходу за ребенком. В заявке необходимо указать, чтобы Вам вложили заявление – согласие об удержании излишне выплаченных денежных средств, сумму переплаты и реквизиты для возврата платежа.",БиР
55,Можно ли подать заявление на БиР позже установленного срока?,Информацию по больничному можно передать работодателю в течение 6 месяцев.,БиР
56,Каковы сроки предоставления документов по больничному после БиР?,Информацию по больничному можно передать работодателю в течение 6 месяцев.,БиР
57,Где посмотреть электронный больничный?,Личный кабинет - сервисы - больничные,больничный
58,Как загрузить электронный больничный?,"На текущий момент данные по больничным листам поступают работодателю от СФР напрямую. Если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в Личном кабинете по теме ""Перерасчет пособий"" и указать номер ЭЛН.",больничный
59,Электронный больничный не отображается,"На текущий момент данные по больничным листам поступают работодателю от СФР напрямую. Если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в Личном кабинете по теме ""Перерасчет пособий"" и указать номер ЭЛН.",больничный
60,Как подать запрос на перерасчет пособия?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
61,Как изменить размер пособия по больничному?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
62,Что делать при некорректном расчёте пособия?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
63,Как внести изменения в данные о пособии?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
64,Как изменить данные по пособию?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
65,Что делать при неправильном расчёте пособия?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
66,Как рассчитывается пособие по больничному?,"Расчет больничного производится по среднему заработку за последние 2 года, предшествующих году началу больничного. Размер пособия определяется в процентах в зависимости от трудового стажа сотрудника. При стаже 8 и более лет полагается пособие в размере 100% от среднего заработка. При стаже от 5 до 8 лет – 80% от среднего заработка. Стаж менее 5 лет даёт право на пособие в размере 60% от среднего заработка. Среднедневной заработок рассчитывается путем деления суммы всех начислений в пользу работника, начисленных за два предыдущих года, на число календарных дней расчетного периода.",больничный
67,Почему больничный не подтверждается руководителем?,"Если руководитель не успел согласовать или не согласовать задачу по ЭЛН, БЛ автоматически согласовывается",больничный
68,Нет задачи на подтверждение закрытия больничного,"Если руководитель не успел согласовать или не согласовать задачу по ЭЛН, БЛ автоматически согласовывается",больничный
69,Почему больничный учтён только на основной ставке?,"Лист нетрудоспособности проводится только по основному месту работы, по совместительству остаются неявки. При расчете больничного учитывается средний заработок как по основной ставке, так и по ставке совместителя.",больничный
70,Почему не оплачивают больничный во время отпуска?,"При пересечении ежегодного отпуска и больничного по уходу за ребенком, больничный в отпуске не оплачивается. Согласно ст. 124 ТК РФ п. 41 порядка при заболевании ребенка в период, когда мать (иной член семьи, фактически осуществляющий уход за ребенком) не нуждается в освобождении от работы (ежегодных оплачиваемых отпусках, отпусках по беременности и родам, отпусках по уходу за ребенком до достижения им возраста 3 лет, отпусках без сохранения заработной платы), листок нетрудоспособности по уходу за ребенком (в случае, когда он продолжает нуждаться в уходе) выдается со дня, когда мать (иной член семьи, фактически осуществляющий уход за ребенком) должна приступить к работе. То есть больничный по уходу за ребенком в ежегодном отпуске не оплачивается.",больничный
71,Как действовать при извещении СФР по оплате больничного?,"Пожалуйста, ожидайте, в течение 5 рабочих дней работодатель предоставит ответ на извещение, после чего пособие будет выплачено.",больничный
72,Что делать при получении извещения от работодателя?,"Пожалуйста, ожидайте, в течение 5 рабочих дней работодатель предоставит ответ на извещение, после чего пособие будет выплачено.",больничный
73,Как изменить процент занятости сотрудника?,"Для изменения процента занятости сотруднику создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима, характера работы""",график
74,Как изменить процент занятости сотрудника?,"Для изменения процента занятости сотруднику создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима, характера работы""",график работы
75,Процедура изменения процента занятости,"Для изменения процента занятости сотруднику создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима, характера работы""",график работы
76,Как поменять процент занятости?,"Для изменения процента занятости сотруднику создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима, характера работы""",график работы
77,Как изменить график работы сотрудника?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
78,Как отредактировать график работы сотрудника?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
79,Как скорректировать график работы?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
80,Как внести изменения в рабочий график сотрудника?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
81,Как исправить график работы сотрудника?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
82,Как сменить график работы?,"Для изменения графика работы сотрудника создайте заявку в разделе ""Заявки"" по теме ""Табель/график/рабочее время"", выбрав подтему ""Изменение графика"".",график работы
83,Как создать заявку на перевод сотрудника?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
84,Как оформить заявку на перевод?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
85,Как перевестись на другую должность?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
86,Как осуществить перевод сотрудника?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
87,Проблемы с созданием заявки на перевод,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
88,Как инициировать перевод на другую позицию?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
89,Как перевести сотрудника в другой магазин?,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
90,Процедура перевода сотрудника в другой магазин,"Для проведения перевода, пожалуйста, создайте заявку в разделе ""Создать заявку на сотрудника"", выберите блок ""Изменения по сотрудникам"", подтему ""Перевод перемещение. Подробная информация по созданию заявки размещена в ""Базе знаний "".",график работы
91,Как обнулить ставку сотруднику на больничном?,"Для обнуления ставки создайте заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок». Обратите внимание, что обнуление ставок проводится в случае нахождения сотрудника на длительном больничном или в отпуске без сохранения заработной платы.",график работы
92,Как обнулить ставку сотрудника?,"Для обнуления ставки создайте заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок». Обратите внимание, что обнуление ставок проводится в случае нахождения сотрудника на длительном больничном или в отпуске без сохранения заработной платы.",график работы
93,Процедура обнуления ставки,"Для обнуления ставки создайте заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок». Обратите внимание, что обнуление ставок проводится в случае нахождения сотрудника на длительном больничном или в отпуске без сохранения заработной платы.",график работы
94,Как выполнить обнуление ставки?,"Для обнуления ставки создайте заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок». Обратите внимание, что обнуление ставок проводится в случае нахождения сотрудника на длительном больничном или в отпуске без сохранения заработной платы.",график работы
95,Как продлить срочный трудовой договор?,"Для продления срочного трудового договора создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима характера работы"", выбрав подтему ""Продление СТД, перевод на время отсутствия основного работника/Перевод на бессрочный ТД""",график работы
96,Продление СТД: процедура,"Для продления срочного трудового договора создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима характера работы"", выбрав подтему ""Продление СТД, перевод на время отсутствия основного работника/Перевод на бессрочный ТД""",график работы
97,Истекает срок СТД: что делать?,"Для продления срочного трудового договора создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима характера работы"", выбрав подтему ""Продление СТД, перевод на время отсутствия основного работника/Перевод на бессрочный ТД""",график работы
98,Как продлить срочный договор?,"Для продления срочного трудового договора создайте, пожалуйста, заявку на сотрудника по теме ""Изменение режима характера работы"", выбрав подтему ""Продление СТД, перевод на время отсутствия основного работника/Перевод на бессрочный ТД""",график работы
